ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
44414;Ha Dabateer;M;27.0;184.0;75.0;China;CHN;2004 Summer;2004;Summer;Athina;Boxing Men's Middleweight;
44582;Heybtulla Hacliyev;M;21.0;170.0;;Azerbaijan;AZE;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
44603;Badr-Eddine Haddioui;M;23.0;;60.0;Morocco;MAR;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
44909;Andranik Hakobyan;M;26.0;185.0;76.0;Armenia;ARM;2008 Summer;2008;Summer;Beijing;Boxing Men's Middleweight;
44909;Andranik Hakobyan;M;30.0;185.0;76.0;Armenia;ARM;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
45042;Ali Hallab;M;23.0;168.0;54.0;France;FRA;2004 Summer;2004;Summer;Athina;Boxing Men's Bantamweight;
45042;Ali Hallab;M;27.0;168.0;54.0;France;FRA;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;
45164;Ham Sang-Myeong;M;20.0;168.0;56.0;South Korea;KOR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Bantamweight;
45208;Eduard Hambardzumyan;M;22.0;172.0;65.0;Armenia;ARM;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Welterweight;
45313;Fahem Hammachi;M;24.0;178.0;56.0;Algeria;ALG;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Bantamweight;
45353;Cameron Hammond;M;22.0;179.0;;Australia;AUS;2012 Summer;2012;Summer;London;Boxing Men's Welterweight;
45385;Mohamed Hamout;M;22.0;167.0;56.0;Morocco;MAR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Bantamweight;
45403;Mathias Tulyoongeleni Hamunyela;M;23.0;160.0;49.0;Namibia;NAM;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Flyweight;
45486;Han Sun-Cheol;M;23.0;178.0;60.0;South Korea;KOR;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;
45486;Han Sun-Cheol;M;27.0;178.0;60.0;South Korea;KOR;2012 Summer;2012;Summer;London;Boxing Men's Lightweight;Silver
45514;Hanati Silamu;M;19.0;179.0;69.0;China;CHN;2004 Summer;2004;Summer;Athina;Boxing Men's Welterweight;
45514;Hanati Silamu;M;23.0;179.0;69.0;China;CHN;2008 Summer;2008;Summer;Beijing;Boxing Men's Welterweight;Bronze
45957;Zoltn dm Harcsa;M;19.0;184.0;75.0;Hungary;HUN;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
